match_id,start_x,start_y,end_x,end_y,height,angle,duration,outcome
8658,76.0,69.0,52.0,78.0,Ground Pass,2.782822,2.88,
8658,52.0,78.0,8.0,51.0,Ground Pass,-2.5912068,2.813,
8658,8.0,52.0,23.0,41.0,Ground Pass,-0.63274884,1.44,
8658,24.0,40.0,33.0,40.0,Ground Pass,0.0,1.093,
8658,35.0,34.0,47.0,31.0,Ground Pass,-0.24497867,1.213,
8658,46.0,31.0,26.0,27.0,Ground Pass,-2.9441972,2.04,
8658,26.0,27.0,24.0,40.0,Ground Pass,1.7234457,1.12,
8658,24.0,49.0,37.0,56.0,Ground Pass,0.49394137,0.88,
8658,38.0,49.0,34.0,48.0,Ground Pass,-2.896614,1.253,
8658,33.0,44.0,41.0,37.0,Ground Pass,-0.71883,0.227,
8658,48.0,35.0,57.0,41.0,Ground Pass,0.5880026,0.88,
8658,58.0,40.0,56.0,48.0,Ground Pass,1.815775,1.613,
8658,57.0,47.0,111.0,80.0,High Pass,0.5485494,4.853,Out
8658,16.0,1.0,33.0,2.0,High Pass,0.058755822,1.4,Incomplete
8658,88.0,79.0,43.0,49.0,High Pass,-2.55359,1.853,
8658,99.0,64.0,93.0,78.0,High Pass,1.9756881,1.466,
8658,93.0,79.0,84.0,79.0,High Pass,3.1415927,1.493,
8658,35.0,2.0,55.0,3.0,High Pass,0.049958397,1.453,
8658,66.0,73.0,53.0,77.0,Ground Pass,2.8430936,1.64,
8658,43.0,77.0,8.0,40.0,Ground Pass,-2.3284237,3.893,
8658,9.0,54.0,68.0,79.0,High Pass,0.40079346,3.52,Incomplete
8658,53.0,2.0,56.0,1.0,Low Pass,-0.32175055,0.44,Out
8658,66.0,80.0,42.0,76.0,High Pass,-2.976444,2.013,
8658,39.0,75.0,51.0,77.0,Ground Pass,0.16514868,1.133,
8658,54.0,73.0,62.0,79.0,Ground Pass,0.6435011,0.893,
8658,72.0,78.0,65.0,79.0,Ground Pass,2.9996955,1.0,
8658,66.0,79.0,61.0,76.0,Ground Pass,-2.6011732,0.893,
8658,63.0,74.0,90.0,60.0,High Pass,-0.47835243,1.44,
8658,90.0,61.0,117.0,73.0,High Pass,0.41822433,4.16,
8658,113.0,72.0,117.0,42.0,High Pass,-1.4382448,1.4,Incomplete
8658,18.0,39.0,89.0,58.0,High Pass,0.2614788,3.64,Incomplete
8658,32.0,23.0,1.0,12.0,High Pass,-2.8006136,3.213,Out
8658,120.0,79.0,118.0,49.0,High Pass,-1.6373645,1.32,Unknown
8658,50.0,75.0,31.0,60.0,Ground Pass,-2.4733033,1.733,
8658,38.0,56.0,35.0,31.0,Ground Pass,-1.6902252,2.239,
8658,35.0,26.0,43.0,3.0,Ground Pass,-1.2360595,1.84,
8658,42.0,4.0,61.0,21.0,Ground Pass,0.72989964,1.2,
8658,62.0,21.0,72.0,4.0,Low Pass,-1.0390723,1.693,
8658,82.0,3.0,108.0,8.0,Ground Pass,0.18998829,2.293,
8658,110.0,7.0,108.0,40.0,High Pass,1.6313283,1.626,
8658,15.0,51.0,75.0,60.0,High Pass,0.14888994,2.96,
8658,74.0,60.0,73.0,77.0,High Pass,1.6295521,1.28,
8658,119.0,75.0,108.0,48.0,Ground Pass,-1.957672,1.96,Incomplete
8658,13.0,33.0,15.0,22.0,Ground Pass,-1.3909428,0.733,
8658,14.0,24.0,43.0,60.0,High Pass,0.892677,1.733,
8658,65.0,59.0,51.0,42.0,Ground Pass,-2.2597208,1.533,
8658,50.0,42.0,59.0,30.0,Ground Pass,-0.9272952,1.013,
8658,54.0,33.0,59.0,48.0,Ground Pass,1.2490457,1.013,
8658,60.0,54.0,67.0,72.0,Ground Pass,1.199905,1.013,
8658,78.0,71.0,99.0,79.0,Ground Pass,0.36397895,1.653,
